Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Exit_Interview_Feedback,Internal_Transfer_Request,Avg_Overtime_Hours,Distance_From_Home_Km,Remote_Work_Frequency,Age
"Potts, Xana",10124,1,1,0,1,6,3,0,61844,3,2,9,40220,1988-08-29,0,1,2,No,2,1/9/2012,11/4/2015,3,Active,4,Lynn Daneault,21.0,Website,Fully Meets,4.2,5,0,2/1/2019,0,9,N/A - Still Employed,No request made,4.3,31.7,2,36
"Del Bosque, Keyla",10155,0,0,0,1,4,3,0,101199,24,27,10,2176,1979-07-05,0,3,2,No,2,1/9/2012,11/4/2015,3,Active,5,Alex Sweetwater,10.0,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,0,8,N/A - Still Employed,Interested in joining the IT department to leverage technical skills.,1.9,13.1,2,45
"Gosciminski, Phylicia  ",10218,0,3,0,3,5,3,0,66149,20,23,10,1824,1983-12-08,0,2,2,No,0,9/30/2013,11/4/2015,3,Active,3,Kissy Sullivan,20.0,Google Search,Fully Meets,4.4,5,0,2/21/2019,0,1,N/A - Still Employed,No request made,9.6,11.0,0,41
"Lunquist, Lisa",10035,0,0,0,1,5,4,0,73330,20,23,10,2324,1982-03-28,0,3,2,No,2,8/19/2013,11/4/2015,3,Active,3,Elijiah Gray,16.0,Indeed,Exceeds,4.2,4,0,2/12/2019,0,19,N/A - Still Employed,No request made,8.7,11.5,1,42
"Sander, Kamrin",10169,1,1,0,1,5,3,0,56147,19,22,10,2154,1988-07-10,0,1,2,No,2,9/29/2014,11/4/2015,3,Active,3,Elijiah Gray,16.0,LinkedIn,Fully Meets,3.51,3,0,2/18/2019,0,2,N/A - Still Employed,Seeking a change in management style.,14.3,42.2,1,36
"Becker, Scott",10277,0,0,1,3,5,3,0,53250,19,22,10,2452,1979-04-06,1,3,2,No,1,7/8/2013,11/4/2015,3,Active,3,Webster Butler,14.570957095709572,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,N/A - Still Employed,No request made,1.9,33.3,0,45
"Jung, Judy  ",10138,1,1,0,5,5,3,0,61154,19,22,10,2446,1986-04-17,0,1,2,No,2,1/10/2011,4/1/2016,17,Voluntarily Terminated,3,Elijiah Gray,16.0,CareerBuilder,Fully Meets,4.0,4,0,2/3/2016,0,4,Management style didn't align with my personal work ethics.,No request made,7.8,27.6,0,38
"Dunne, Amy",10211,1,1,0,1,5,3,0,62514,19,22,10,1749,2073-09-23,0,1,2,No,5,4/26/2010,11/4/2015,3,Active,3,Ketsia Liebig,19.0,Google Search,Fully Meets,2.9,3,0,1/21/2019,0,6,N/A - Still Employed,Requested relocation to another state office.,1.6,42.0,0,-49
"Whittier, Scott",10072,0,0,1,5,5,3,0,58371,19,22,10,2030,1987-05-24,1,3,2,Yes,5,1/10/2011,5/15/2014,7,Voluntarily Terminated,3,Webster Butler,39.0,LinkedIn,Fully Meets,5.0,5,0,5/15/2014,0,11,Found a position that allows for 100% remote work.,No request made,11.8,29.3,0,37
"Veera, Abdellah ",10014,0,2,1,5,5,4,0,58523,19,22,10,2171,1987-01-31,1,0,2,No,5,8/13/2012,2/5/2016,8,Voluntarily Terminated,3,Kissy Sullivan,20.0,LinkedIn,Exceeds,4.5,5,0,2/1/2016,0,15,Personal reasons related to family relocation.,No request made,6.4,12.2,0,37
"Dietrich, Jenna  ",10304,0,0,0,1,6,1,0,59231,3,2,27,98052,1987-05-14,0,3,2,Yes,5,2/20/2012,11/4/2015,3,Active,4,John Smith,17.0,Website,PIP,2.3,1,0,1/29/2019,2,17,N/A - Still Employed,No request made,0.3,43.7,3,37
"Bates, Norman",10061,0,0,1,4,5,3,0,57834,19,22,10,2050,1981-10-18,1,3,2,No,5,2/21/2011,8/4/2017,4,Terminated for Cause,3,Kelley Spirea,18.0,Google Search,Fully Meets,5.0,4,0,4/5/2017,0,20,Commute was becoming too taxing on my work-life balance.,No request made,1.0,29.4,0,43
"Baczenski, Rachael  ",10252,1,1,0,5,5,3,1,54670,19,22,10,1902,2074-01-12,0,1,2,Yes,2,1/10/2011,1/12/2017,0,Voluntarily Terminated,3,David Stanley,14.0,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12,Personal reasons related to family relocation.,Wants to move from Production to Admin for better hours.,13.7,6.0,0,-50
"Tannen, Biff",10173,1,1,1,1,3,3,0,90100,4,3,10,2134,1987-10-24,1,1,2,No,5,4/20/2017,11/4/2015,3,Active,2,Brian Champaigne,13.0,Indeed,Fully Meets,3.4,3,6,1/2/2019,0,14,N/A - Still Employed,No request made,6.4,41.2,5,37
"Roby, Lori ",10162,1,1,0,1,3,3,0,89883,9,6,10,1886,1981-10-11,0,1,2,No,5,2/16/2015,11/4/2015,3,Active,2,Simon Roup,4.0,Employee Referral,Fully Meets,3.69,5,6,2/14/2019,0,15,N/A - Still Employed,No request made,14.0,41.7,3,43
"Foster-Baker, Amy",10080,1,1,0,1,1,3,0,99351,26,29,10,2050,1979-04-16,0,1,2,no,5,1/5/2009,11/4/2015,3,Active,0,Board of Directors,9.0,Other,Fully Meets,5.0,3,2,2/8/2019,0,3,N/A - Still Employed,No request made,0.2,13.1,1,45
"Demita, Carla",10100,0,3,0,5,5,3,0,58275,20,23,10,2343,2051-02-25,0,2,2,No,2,4/4/2011,11/4/2015,11,Voluntarily Terminated,3,Kelley Spirea,18.0,Google Search,Fully Meets,4.62,5,0,5/6/2015,0,1,Commute was becoming too taxing on my work-life balance.,No request made,5.2,17.8,0,-27
"Roper, Katie",10086,0,0,0,1,3,3,0,150290,7,8,10,2056,2072-11-21,0,3,2,No,2,1/7/2017,11/4/2015,3,Active,2,Brian Champaigne,13.0,Indeed,Fully Meets,4.94,3,5,2/6/2019,0,17,N/A - Still Employed,No request made,14.6,37.4,3,-48
"Carabbio, Judith",10085,0,0,0,1,4,3,0,93396,24,27,10,2132,1987-04-05,0,3,2,No,5,11/11/2013,11/4/2015,3,Active,5,Alex Sweetwater,10.0,Indeed,Fully Meets,4.96,4,6,1/30/2019,0,3,N/A - Still Employed,No request made,1.7,37.2,4,37
"Beak, Kimberly  ",10023,1,1,0,2,5,4,0,70131,20,23,10,2145,2066-04-17,0,1,2,No,5,7/21/2016,11/4/2015,3,Active,3,Kelley Spirea,18.0,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16,N/A - Still Employed,No request made,13.9,30.3,0,-42
"Corleone, Vito",10019,0,0,1,1,5,4,0,170500,10,10,10,2030,1983-03-19,1,3,2,No,2,1/5/2009,11/4/2015,3,Active,3,Janet King,2.0,Indeed,Exceeds,3.7,5,0,2/4/2019,0,15,N/A - Still Employed,No request made,7.6,28.1,0,41
"Kretschmer, John",10176,1,1,1,1,5,3,0,63973,19,22,10,1801,1980-02-02,1,1,2,No,1,1/10/2011,11/4/2015,3,Active,3,Brannon Miller,12.0,Indeed,Fully Meets,3.38,3,0,1/21/2019,0,17,N/A - Still Employed,No request made,6.7,21.8,0,44
"Thibaud, Kenneth",10268,0,4,1,5,5,3,0,67176,20,23,10,2472,2075-09-16,1,4,2,No,5,6/25/2007,8/30/2010,10,Voluntarily Terminated,3,Webster Butler,39.0,Other,Fully Meets,4.1,4,0,7/14/2010,0,15,Offered a significantly higher salary at a competitor.,No request made,1.5,5.9,0,-51
"Delarge, Alex",10306,0,0,1,1,6,1,0,61568,3,2,0,36006,2075-11-02,1,3,2,No,4,9/29/2014,11/4/2015,3,Active,4,John Smith,17.0,Indeed,PIP,1.93,3,0,1/30/2019,6,5,N/A - Still Employed,No request made,0.6,22.1,1,-51
"Gonzalez, Cayo",10031,0,2,1,1,5,4,1,59892,19,22,10,2108,2069-09-29,1,0,2,No,2,7/11/2011,11/4/2015,3,Active,3,Brannon Miller,12.0,Diversity Job Fair,Exceeds,4.5,4,0,2/18/2019,0,1,N/A - Still Employed,No request made,6.5,1.3,0,-45
"Desimone, Carl ",10310,1,1,1,1,5,1,0,53189,19,22,10,2061,2067-04-19,1,1,2,No,5,7/7/2014,11/4/2015,3,Active,3,Amy Dunn,11.0,Indeed,PIP,1.12,2,0,1/31/2019,4,9,N/A - Still Employed,No request made,6.9,36.9,0,-43
"Bugali, Josephine ",10203,0,3,0,3,5,3,1,64375,19,22,10,2043,2069-10-30,0,2,2,No,2,11/11/2013,11/4/2015,3,Active,3,Kissy Sullivan,20.0,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17,N/A - Still Employed,No request made,7.5,47.8,0,-45
"Mckenna, Sandy",10145,1,1,0,1,5,3,0,62810,19,22,10,2184,1987-01-07,0,1,2,No,2,1/7/2013,11/4/2015,3,Active,3,Kissy Sullivan,20.0,CareerBuilder,Fully Meets,3.93,3,0,1/30/2019,0,20,N/A - Still Employed,Seeking a change in management style.,9.5,9.9,0,37
"Landa, Hans",10092,1,1,1,4,5,3,0,82758,18,21,10,1890,2072-07-01,1,1,2,No,5,1/10/2011,12/12/2015,4,Terminated for Cause,3,Janet King,2.0,Employee Referral,Fully Meets,4.78,4,0,2/15/2015,0,9,Found a position that allows for 100% remote work.,No request made,14.7,13.1,0,-48
"Robinson, Elias",10020,0,4,1,1,5,4,0,63353,19,22,10,1730,1985-01-28,1,4,2,No,5,7/8/2013,11/4/2015,3,Active,3,Brannon Miller,12.0,Employee Referral,Exceeds,3.6,5,0,2/11/2019,0,4,N/A - Still Employed,No request made,8.4,48.6,1,39
"Harrington, Christie ",10097,0,0,0,5,5,3,0,52177,19,22,10,2324,2052-08-18,0,3,2,No,5,1/9/2012,12/15/2015,15,Voluntarily Terminated,3,Webster Butler,39.0,CareerBuilder,Fully Meets,4.64,4,0,5/2/2015,0,8,Decided to return to school full-time for an MBA.,No request made,9.4,2.0,0,-28
"Becker, Renee",10245,0,0,0,4,3,3,0,110000,8,9,10,2026,1986-04-04,0,3,2,Yes,5,7/7/2014,9/12/2015,13,Terminated for Cause,2,Simon Roup,4.0,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8,Seeking a more innovative company culture.,No request made,3.8,49.5,4,38
"Smith, John",10291,0,2,1,1,6,2,1,72992,21,24,10,1886,1984-08-16,1,0,2,No,2,5/18/2014,11/4/2015,3,Active,4,Debra Houlihan,15.0,Diversity Job Fair,Needs Improvement,2.4,4,0,1/16/2019,2,16,N/A - Still Employed,Requested relocation to another state office.,11.3,35.8,2,40
"Foss, Jason",10015,0,0,1,1,3,4,0,178000,12,13,10,1460,1980-07-05,1,3,2,No,2,4/15/2011,11/4/2015,3,Active,2,Jennifer Zamora,5.0,Indeed,Exceeds,5.0,5,5,1/7/2019,0,15,N/A - Still Employed,No request made,14.7,38.0,3,44
"Jackson, Maryellen",10227,0,0,0,1,5,3,0,61242,19,22,10,2081,2072-09-11,0,3,2,No,2,11/5/2012,11/4/2015,3,Active,3,David Stanley,14.0,LinkedIn,Fully Meets,4.1,3,0,1/17/2019,0,7,N/A - Still Employed,No request made,13.2,6.3,1,-48
"Howard, Estelle",10182,1,1,0,1,1,3,0,49920,2,1,10,2170,1985-09-16,0,1,2,No,2,2/16/2015,4/15/2015,12,Terminated for Cause,0,Brandon R. LeBlanc,1.0,Indeed,Fully Meets,3.24,3,4,4/15/2015,0,6,Found a position that allows for 100% remote work.,No request made,14.4,6.8,1,39
"Exantus, Susan",10290,1,1,0,4,4,2,0,99280,24,27,10,1749,1987-05-15,0,1,2,No,2,5/2/2011,6/5/2013,4,Terminated for Cause,5,Alex Sweetwater,10.0,Indeed,Needs Improvement,2.1,5,4,8/10/2012,4,19,Personal reasons related to family relocation.,No request made,11.7,33.8,3,37
"Soto, Julia ",10119,1,1,0,1,3,3,0,66593,14,17,10,2360,2073-03-12,0,1,2,No,2,6/10/2011,11/4/2015,3,Active,2,Eric Dougall,6.0,LinkedIn,Fully Meets,4.3,3,5,2/8/2019,0,19,N/A - Still Employed,No request made,9.8,7.6,4,-49
"Kirill, Alexandra  ",10170,1,1,0,5,5,3,0,45433,19,22,10,2127,2070-10-08,0,1,2,No,5,9/26/2011,1/9/2014,11,Voluntarily Terminated,3,Amy Dunn,11.0,Google Search,Fully Meets,3.49,4,0,1/30/2013,0,6,The role evolved into something different than what was described during hiring.,Requested relocation to another state office.,9.1,14.8,1,-46
"Harrison, Kara",10007,1,1,0,1,5,4,0,62065,19,22,10,1886,2074-05-02,0,1,2,No,5,5/12/2014,11/4/2015,3,Active,3,Amy Dunn,11.0,CareerBuilder,Exceeds,4.76,4,0,2/15/2019,0,5,N/A - Still Employed,No request made,0.3,47.8,0,-50
"Soze, Keyser",10180,1,1,1,2,3,3,0,87565,28,31,10,1545,1983-02-09,1,1,2,No,1,6/30/2016,11/4/2015,3,Active,2,Peter Monroe,7.0,LinkedIn,Fully Meets,3.27,4,5,1/14/2019,0,13,N/A - Still Employed,No request made,6.2,47.8,2,41
"Nowlan, Kristie",10104,0,0,0,1,5,3,0,66738,20,23,10,1040,1985-11-23,0,3,2,No,5,11/10/2014,11/4/2015,3,Active,3,Elijiah Gray,16.0,Indeed,Fully Meets,4.53,5,0,1/16/2019,0,5,N/A - Still Employed,No request made,12.1,5.9,0,39
"Woodson, Jason",10135,0,0,1,1,5,3,0,65893,20,23,10,1810,1985-05-11,1,3,2,No,5,7/7/2014,11/4/2015,3,Active,3,Kissy Sullivan,20.0,LinkedIn,Fully Meets,4.07,4,0,2/28/2019,0,13,N/A - Still Employed,No request made,4.2,27.9,1,39
"Wallace, Courtney  E",10274,1,1,0,5,5,3,1,80512,18,21,10,2478,2055-11-14,0,1,2,No,2,9/26/2011,1/2/2012,0,Voluntarily Terminated,3,Janet King,2.0,Diversity Job Fair,Fully Meets,4.5,3,0,1/2/2012,0,5,Offered a significantly higher salary at a competitor.,No request made,0.1,37.4,1,-31
"MacLennan, Samuel",10191,0,4,1,5,5,3,0,52788,19,22,10,1938,2072-11-09,1,4,2,No,5,9/24/2012,9/26/2017,7,Voluntarily Terminated,3,Amy Dunn,11.0,Indeed,Fully Meets,3.08,4,0,4/1/2017,0,18,Decided to return to school full-time for an MBA.,No request made,8.0,39.1,0,-48
"Morway, Tanya",10151,1,1,0,1,3,3,0,52599,15,18,10,2048,1979-04-04,0,1,2,No,5,2/16/2015,11/4/2015,3,Active,2,Peter Monroe,7.0,CareerBuilder,Fully Meets,3.81,3,6,2/11/2019,0,6,N/A - Still Employed,No request made,7.8,9.6,5,45
"Peterson, Ebonee  ",10130,1,1,0,5,5,3,0,74669,18,21,10,2030,1977-05-09,0,1,2,No,5,10/25/2010,5/18/2016,0,Voluntarily Terminated,3,Janet King,2.0,Indeed,Fully Meets,4.16,5,0,3/5/2015,0,6,Commute was becoming too taxing on my work-life balance.,No request made,4.4,34.5,1,47
"Von Massenbach, Anna",10183,0,0,0,2,5,3,0,62068,19,22,10,2124,1985-04-06,0,3,2,No,5,7/5/2015,11/4/2015,3,Active,3,Michael Albert,22.0,LinkedIn,Fully Meets,3.21,3,0,1/29/2019,0,7,N/A - Still Employed,No request made,13.9,41.4,1,39
"Homberger, Adrienne  J",10195,1,1,0,5,5,3,0,63478,20,23,10,2445,1984-02-16,0,1,1,No,5,8/15/2011,4/7/2012,14,Voluntarily Terminated,3,Michael Albert,30.0,Indeed,Fully Meets,3.03,5,0,3/5/2012,0,16,Felt the growth opportunities were limited in the current department.,No request made,1.7,20.7,1,40
"Carey, Michael  ",10115,0,0,1,1,5,3,0,52846,19,22,10,1701,1983-02-02,1,3,2,No,2,3/31/2014,11/4/2015,3,Active,3,Kelley Spirea,18.0,LinkedIn,Fully Meets,4.43,3,0,2/1/2019,0,14,N/A - Still Employed,No request made,10.5,7.8,0,41
"Saar-Beckles, Melinda",10295,0,0,0,2,5,2,1,47750,19,22,10,1801,2068-06-06,0,3,2,No,2,7/4/2016,11/4/2015,3,Active,3,Kelley Spirea,18.0,Diversity Job Fair,Needs Improvement,2.6,4,0,2/18/2019,5,4,N/A - Still Employed,No request made,5.8,37.8,0,-44
"Manchester, Robyn",10077,1,1,0,2,5,3,0,62385,20,23,10,2324,1976-08-25,0,1,2,No,5,5/11/2016,11/4/2015,3,Active,3,Webster Butler,14.570957095709572,LinkedIn,Fully Meets,5.0,3,0,1/21/2019,0,4,N/A - Still Employed,No request made,0.9,6.2,1,48
"Johnson, George",10034,1,1,1,5,5,4,0,46837,19,22,10,2445,2059-08-19,1,1,2,No,5,11/7/2011,4/29/2018,11,Voluntarily Terminated,3,Michael Albert,22.0,CareerBuilder,Exceeds,4.7,4,0,2/14/2018,0,9,Management style didn't align with my personal work ethics.,No request made,7.2,24.1,1,-35
"Gonzalez, Juan",10300,1,1,1,5,5,1,1,68898,20,23,10,2128,2064-10-12,1,1,2,No,2,4/26/2010,5/30/2011,5,Voluntarily Terminated,3,Brannon Miller,12.0,Diversity Job Fair,PIP,3.0,3,0,3/6/2011,3,10,Seeking a more innovative company culture.,No request made,4.8,6.6,0,-40
"Mahoney, Lauren  ",10219,0,0,0,1,5,3,0,45395,19,22,10,2189,1986-07-07,0,3,2,No,5,1/6/2014,11/4/2015,3,Active,3,Ketsia Liebig,19.0,LinkedIn,Fully Meets,4.6,4,0,2/26/2019,0,14,N/A - Still Employed,No request made,7.6,7.1,0,38
"Goyal, Roxana",10256,1,1,0,3,5,3,0,49256,19,22,10,1864,2074-10-09,0,1,2,No,1,8/19/2013,11/4/2015,3,Active,3,Kissy Sullivan,20.0,LinkedIn,Fully Meets,4.1,5,0,2/15/2019,0,3,N/A - Still Employed,No request made,4.0,11.2,0,-50
"Turpin, Jumil",10045,1,1,1,1,3,3,0,76029,15,18,10,2343,2069-03-31,1,1,0,No,5,3/30/2015,11/4/2015,3,Active,2,Peter Monroe,7.0,Employee Referral,Fully Meets,5.0,4,7,1/14/2019,0,8,N/A - Still Employed,No request made,5.6,30.2,3,-45
"Tippett, Jeanette",10123,0,2,0,1,5,3,0,56339,19,22,10,2093,2067-06-05,0,0,2,No,2,2/18/2013,11/4/2015,3,Active,3,Brannon Miller,12.0,Indeed,Fully Meets,4.21,5,0,1/14/2019,0,4,N/A - Still Employed,No request made,9.5,29.3,0,-43
"Saada, Adell",10126,1,1,0,1,4,3,0,86214,24,27,10,2132,1986-07-24,0,1,2,No,5,11/5/2012,11/4/2015,3,Active,5,Alex Sweetwater,10.0,Indeed,Fully Meets,4.2,3,6,2/13/2019,0,2,N/A - Still Employed,No request made,8.8,13.8,4,38
"Meads, Elizabeth",10128,0,0,0,5,5,3,1,62659,19,22,10,1760,2068-05-30,0,3,2,No,2,4/2/2012,11/11/2016,0,Voluntarily Terminated,3,Kelley Spirea,18.0,Diversity Job Fair,Fully Meets,4.18,4,0,2/5/2016,0,17,Felt the growth opportunities were limited in the current department.,No request made,4.0,49.7,0,-44
"Roberson, May",10230,0,2,0,5,5,3,0,64971,20,23,10,1902,1981-09-05,0,0,0,No,2,9/26/2011,10/22/2011,16,Voluntarily Terminated,3,David Stanley,14.0,Google Search,Fully Meets,4.5,4,0,10/22/2011,0,10,Seeking a more innovative company culture.,No request made,0.3,13.6,0,43
"Akinkuolie, Sarah",10196,1,1,0,5,5,3,0,64955,20,23,10,1810,1988-09-19,0,1,2,No,5,7/5/2011,9/24/2012,7,Voluntarily Terminated,3,Kissy Sullivan,20.0,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3,Management style didn't align with my personal work ethics.,No request made,8.4,31.1,0,36
"Gordon, David",10051,1,1,1,1,5,3,0,48285,19,22,10,2169,1979-05-21,1,1,2,No,5,7/2/2012,11/4/2015,3,Active,3,David Stanley,14.0,LinkedIn,Fully Meets,5.0,3,0,1/14/2019,0,2,N/A - Still Employed,No request made,0.9,24.0,0,45
"Motlagh,  Dawn",10254,0,2,0,1,5,3,0,63430,19,22,10,2453,1984-07-07,0,0,2,No,5,4/1/2013,11/4/2015,3,Active,3,Elijiah Gray,16.0,LinkedIn,Fully Meets,4.4,4,0,1/17/2019,0,18,N/A - Still Employed,No request made,3.1,13.6,1,40
