Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Exit_Interview_Feedback,Internal_Transfer_Request,Avg_Overtime_Hours,Distance_From_Home_Km,Remote_Work_Frequency,Age
"Barbossa, Hector",10012,0,2,1,1,3,4,1,92328.0,0,9,6,23,78230,1988-07-04,1,0,2,No,2,11/10/2014,11/4/2015,3.0,Active,2,Simon Roup,4.0,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,0,9,N/A - Still Employed,No request made,13.6,38.3,4,36
"Barone, Francesco  A",10265,0,0,1,1,5,3,0,58709.0,0,19,22,10,1810,1983-07-20,1,3,2,No,4,2/20/2012,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,Google Search,Fully Meets,4.6,4,0,2/14/2019,0,7,N/A - Still Employed,No request made,6.9,33.2,0,41
"Barton, Nader",10066,0,2,1,5,5,3,0,52505.0,1,19,22,10,2747,1977-07-15,1,0,2,No,5,9/24/2012,4/6/2017,0.0,Voluntarily Terminated,3,Michael Albert,22.0,On-line Web application,Fully Meets,5.0,5,0,3/2/2017,0,1,Found a position that allows for 100% remote work.,No request made,5.1,25.9,0,47
"Bates, Norman",10061,0,0,1,4,5,3,0,57834.0,1,19,22,10,2050,1981-10-18,1,3,2,No,5,2/21/2011,8/4/2017,4.0,Terminated for Cause,3,Kelley Spirea,18.0,Google Search,Fully Meets,5.0,4,0,4/5/2017,0,20,Commute was becoming too taxing on my work-life balance.,No request made,1.0,29.4,0,43
"Beak, Kimberly",10023,1,1,0,2,5,4,0,70131.0,0,20,23,10,2145,2066-04-17,0,1,2,No,5,7/21/2016,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16,N/A - Still Employed,No request made,13.9,30.3,0,40
"Beatrice, Courtney",10055,0,0,0,1,5,3,0,59026.0,0,19,22,10,1915,2070-10-27,0,3,0,No,5,4/4/2011,11/4/2015,3.0,Active,3,Elijiah Gray,16.0,Google Search,Fully Meets,5.0,5,0,1/14/2019,0,12,N/A - Still Employed,No request made,1.3,22.6,0,40
"Becker, Renee",10245,0,0,0,4,3,3,0,110000.0,1,8,9,10,2026,1986-04-04,0,3,2,Yes,5,7/7/2014,9/12/2015,13.0,Terminated for Cause,2,Simon Roup,4.0,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8,Seeking a more innovative company culture.,No request made,3.8,49.5,4,38
"Becker, Scott",10277,0,0,1,3,5,3,0,53250.0,0,19,22,10,2452,1979-04-06,1,3,2,No,1,7/8/2013,11/4/2015,3.0,Active,3,Webster Butler,14.570957095709572,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,N/A - Still Employed,No request made,1.9,33.3,0,45
"Bernstein, Sean",10046,0,0,1,1,5,3,0,51044.0,0,19,22,10,2072,2070-12-22,1,3,2,Yes,5,4/2/2012,11/4/2015,3.0,Active,3,Amy Dunn,11.0,Google Search,Fully Meets,5.0,3,0,1/14/2019,0,13,N/A - Still Employed,No request made,0.9,4.6,0,40
"Biden, Lowan  M",10226,0,2,0,1,5,3,0,64919.0,0,19,22,10,2027,2058-12-27,0,0,2,No,1,8/19/2013,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Indeed,Fully Meets,4.2,3,0,1/10/2019,0,2,N/A - Still Employed,No request made,7.4,7.6,1,40
"Billis, Helen",10003,1,1,0,1,5,4,0,62910.0,0,19,22,10,2031,1989-09-01,0,1,2,No,5,7/7/2014,11/4/2015,3.0,Active,3,Brannon Miller,12.0,Indeed,Exceeds,5.0,3,0,2/27/2019,0,19,N/A - Still Employed,No request made,5.1,30.2,1,35
"Blount, Dianna",10294,0,0,0,1,5,2,0,66441.0,0,20,23,10,2171,1990-09-21,0,3,2,No,5,4/4/2011,11/4/2015,3.0,Active,3,Michael Albert,22.0,CareerBuilder,Needs Improvement,2.0,3,0,2/27/2019,2,3,N/A - Still Employed,No request made,9.6,41.0,0,34
"Bondwell, Betsy",10267,0,0,0,5,5,3,0,57815.0,1,20,23,10,2210,2067-01-16,0,3,2,No,5,1/10/2011,4/4/2014,5.0,Voluntarily Terminated,3,Elijiah Gray,16.0,Google Search,Fully Meets,4.8,5,0,3/4/2014,0,5,Felt the growth opportunities were limited in the current department.,No request made,0.9,16.3,0,40
"Booth, Frank",10199,0,0,1,4,3,3,0,103613.0,1,30,12,4,6033,2064-07-30,1,3,2,No,2,2/17/2014,2/19/2016,2.0,Terminated for Cause,2,Simon Roup,4.0,LinkedIn,Fully Meets,3.5,5,7,1/10/2016,0,2,Management style didn't align with my personal work ethics.,No request made,7.5,28.4,4,40
"Boutwell, Bonalyn",10081,1,1,0,1,1,3,1,106367.0,0,26,29,10,2468,1987-04-04,0,1,2,No,2,2/16/2015,11/4/2015,3.0,Active,0,Brandon R. LeBlanc,3.0,Diversity Job Fair,Fully Meets,5.0,4,3,2/18/2019,0,4,N/A - Still Employed,No request made,7.5,26.7,2,37
"Bozzi, Charles",10175,0,0,1,5,5,3,0,74312.0,1,18,21,10,1901,2070-03-10,1,3,2,No,1,9/30/2013,8/7/2014,15.0,Voluntarily Terminated,3,Janet King,2.0,Indeed,Fully Meets,3.39,3,0,2/20/2014,0,14,Felt the growth opportunities were limited in the current department.,No request made,12.5,25.8,0,40
"Brill, Donna",10177,1,1,0,5,5,3,0,53492.0,1,19,22,10,1701,1990-08-24,0,1,2,No,5,4/2/2012,6/15/2013,0.0,Voluntarily Terminated,3,David Stanley,14.0,Google Search,Fully Meets,3.35,4,0,3/4/2013,0,6,Found a position that allows for 100% remote work.,Looking for a role with more client interaction.,9.1,37.8,1,34
"Brown, Mia",10238,1,1,0,1,1,3,1,63000.0,0,1,0,10,1450,1987-11-24,0,1,2,No,2,10/27/2008,11/4/2015,3.0,Active,0,Brandon R. LeBlanc,1.0,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,0,14,N/A - Still Employed,No request made,13.4,15.7,1,37
"Buccheri, Joseph",10184,0,0,1,1,5,3,0,65288.0,0,20,23,10,1013,1983-07-28,1,3,2,No,5,9/29/2014,11/4/2015,3.0,Active,3,Webster Butler,14.570957095709572,Google Search,Fully Meets,3.19,3,0,2/1/2019,0,9,N/A - Still Employed,Looking for a role with more client interaction.,0.7,20.8,0,41
"Bugali, Josephine",10203,0,3,0,3,5,3,1,64375.0,0,19,22,10,2043,2069-10-30,0,2,2,No,2,11/11/2013,11/4/2015,3.0,Active,3,Kissy Sullivan,20.0,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17,N/A - Still Employed,No request made,7.5,47.8,0,40
"Bunbury, Jessica",10188,1,1,0,5,6,3,0,74326.0,1,3,2,25,21851,2064-06-01,0,1,0,No,2,8/15/2011,8/2/2014,0.0,Voluntarily Terminated,4,John Smith,17.0,Google Search,Fully Meets,3.14,5,0,2/10/2013,1,19,Personal reasons related to family relocation.,No request made,2.6,37.5,3,40
"Burke, Joelle",10107,0,0,0,1,5,3,0,63763.0,0,20,23,10,2148,1980-03-02,0,3,2,No,2,3/5/2012,11/4/2015,3.0,Active,3,Amy Dunn,11.0,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,0,3,N/A - Still Employed,No request made,12.0,24.3,0,44
"Burkett, Benjamin",10181,1,1,1,1,5,3,0,62162.0,0,20,23,10,1890,1977-08-19,1,1,2,No,5,4/4/2011,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Indeed,Fully Meets,3.25,5,0,1/14/2019,0,15,N/A - Still Employed,No request made,10.3,27.0,0,47
"Cady, Max",10150,0,0,1,1,4,3,0,77692.0,0,25,28,10,2184,2066-11-22,1,3,2,No,5,8/15/2011,11/4/2015,3.0,Active,5,Jennifer Zamora,5.0,Google Search,Fully Meets,3.84,3,5,1/21/2019,0,4,N/A - Still Employed,Seeking a change in management style.,3.1,29.0,4,40
"Candie, Calvin",10001,0,0,1,1,5,4,0,72640.0,0,18,21,10,2169,1983-08-09,1,3,2,No,5,1/28/2016,11/4/2015,3.0,Active,3,Janet King,2.0,Indeed,Exceeds,5.0,3,0,2/22/2019,0,14,N/A - Still Employed,No request made,6.5,34.2,0,41
"Carabbio, Judith",10085,0,0,0,1,4,3,0,93396.0,0,24,27,10,2132,1987-04-05,0,3,2,No,5,11/11/2013,11/4/2015,3.0,Active,5,Alex Sweetwater,10.0,Indeed,Fully Meets,4.96,4,6,1/30/2019,0,3,N/A - Still Employed,No request made,1.7,37.2,4,37
"Carey, Michael",10115,0,0,1,1,5,3,0,52846.0,0,19,22,10,1701,1983-02-02,1,3,2,No,2,3/31/2014,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,LinkedIn,Fully Meets,4.43,3,0,2/1/2019,0,14,N/A - Still Employed,No request made,10.5,7.8,0,41
"Carr, Claudia  N",10082,0,0,0,2,3,3,0,100031.0,0,27,30,10,1886,1986-06-06,0,3,2,No,2,6/30/2016,11/4/2015,3.0,Active,2,Simon Roup,4.0,LinkedIn,Fully Meets,5.0,5,6,2/18/2019,0,7,N/A - Still Employed,No request made,9.3,34.5,4,38
"Carter, Michelle",10040,0,0,0,1,6,3,0,71860.0,0,3,2,26,5664,2063-05-15,0,3,2,No,5,8/18/2014,11/4/2015,3.0,Active,4,John Smith,17.0,Indeed,Fully Meets,5.0,5,0,1/21/2019,0,7,N/A - Still Employed,No request made,10.1,48.2,3,40
"Chace, Beatrice",10067,0,0,0,1,5,3,0,61656.0,0,19,22,10,2763,2051-01-02,0,3,2,No,5,9/29/2014,11/4/2015,3.0,Active,3,Michael Albert,22.0,Google Search,Fully Meets,5.0,4,0,2/12/2019,0,11,N/A - Still Employed,No request made,3.2,15.4,1,40
"Champaigne, Brian",10108,1,1,1,1,3,3,0,110929.0,0,5,4,10,2045,2072-02-09,1,1,2,No,5,9/6/2016,11/4/2015,3.0,Active,2,Jennifer Zamora,5.0,Indeed,Fully Meets,4.5,5,7,1/15/2019,0,8,N/A - Still Employed,No request made,13.0,22.6,2,40
"Chan, Lin",10210,0,0,0,1,5,3,0,54237.0,0,19,22,10,2170,1979-02-12,0,3,2,No,5,5/12/2014,11/4/2015,3.0,Active,3,Elijiah Gray,16.0,Indeed,Fully Meets,3.3,4,0,2/19/2019,0,11,N/A - Still Employed,No request made,11.7,22.9,0,45
"Chang, Donovan  E",10154,0,0,1,1,5,3,0,60380.0,0,19,22,10,1845,1983-08-24,1,3,2,No,5,7/8/2013,11/4/2015,3.0,Active,3,Webster Butler,14.570957095709572,LinkedIn,Fully Meets,3.8,5,0,1/14/2019,0,4,N/A - Still Employed,No request made,4.0,40.7,1,41
"Chigurh, Anton",10200,0,0,1,1,6,3,0,66808.0,0,3,2,23,78207,2070-06-11,1,3,0,No,2,5/14/2012,11/4/2015,3.0,Active,4,Lynn Daneault,21.0,Employee Referral,Fully Meets,3.0,5,0,1/19/2019,0,17,N/A - Still Employed,No request made,11.9,37.5,2,40
"Chivukula, Enola",10240,0,0,0,5,5,3,0,64786.0,1,19,22,10,1775,1983-08-27,0,3,2,No,5,6/27/2011,11/15/2015,14.0,Voluntarily Terminated,3,Amy Dunn,11.0,Indeed,Fully Meets,4.3,4,0,3/10/2015,0,3,Offered a significantly higher salary at a competitor.,No request made,13.6,6.2,0,41
"Cierpiszewski, Caroline",10168,0,0,0,1,5,3,0,64816.0,0,19,22,10,2044,1988-05-31,0,3,1,No,2,10/3/2011,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Indeed,Fully Meets,3.58,5,0,1/30/2019,0,3,N/A - Still Employed,No request made,7.3,14.2,0,36
"Clayton, Rick",10220,0,0,1,1,3,3,0,68678.0,0,14,17,10,2170,1985-09-05,1,3,2,No,5,9/5/2012,11/4/2015,3.0,Active,2,Eric Dougall,6.0,Indeed,Fully Meets,4.7,3,6,2/27/2019,0,2,N/A - Still Employed,No request made,0.5,13.3,5,39
"Cloninger, Jennifer",10275,1,1,0,5,5,3,0,64066.0,1,20,23,10,1752,1981-08-31,0,1,2,No,5,5/16/2011,1/7/2013,17.0,Voluntarily Terminated,3,Brannon Miller,12.0,Google Search,Fully Meets,4.2,5,0,5/3/2012,0,9,Found a position that allows for 100% remote work.,No request made,7.4,32.8,0,43
"Close, Phil",10269,1,1,1,5,5,3,0,59369.0,1,20,23,10,2169,1978-11-25,1,1,2,No,5,8/30/2010,9/26/2011,5.0,Voluntarily Terminated,3,David Stanley,14.0,Indeed,Fully Meets,4.2,4,0,5/4/2011,0,6,Felt the growth opportunities were limited in the current department.,No request made,14.5,43.6,1,46
"Clukey, Elijian",10029,1,1,1,2,5,4,0,50373.0,0,19,22,10,2134,1980-08-26,1,1,2,No,5,7/6/2016,11/4/2015,3.0,Active,3,Brannon Miller,12.0,Employee Referral,Exceeds,4.1,4,0,2/28/2019,0,5,N/A - Still Employed,No request made,8.1,12.9,0,44
"Cockel, James",10261,0,0,1,1,5,3,0,63108.0,0,19,22,10,2452,1977-09-08,1,3,2,No,5,7/8/2013,11/4/2015,3.0,Active,3,David Stanley,14.0,Employee Referral,Fully Meets,4.4,5,0,1/14/2019,0,3,N/A - Still Employed,No request made,5.3,25.5,0,47
"Cole, Spencer",10292,0,0,1,4,5,2,0,59144.0,1,19,22,10,1880,1979-08-12,1,3,2,No,2,7/11/2011,9/23/2016,13.0,Terminated for Cause,3,Kissy Sullivan,20.0,LinkedIn,Needs Improvement,2.0,3,0,5/1/2016,5,16,Decided to return to school full-time for an MBA.,No request made,1.0,34.1,0,45
"Corleone, Michael",10282,0,2,1,1,5,2,0,68051.0,0,18,21,10,1803,2075-12-17,1,0,2,No,5,7/20/2010,11/4/2015,3.0,Active,3,Janet King,2.0,CareerBuilder,Needs Improvement,4.13,2,0,1/14/2019,3,3,N/A - Still Employed,No request made,9.7,5.5,0,40
"Corleone, Vito",10019,0,0,1,1,5,4,0,170500.0,0,10,10,10,2030,1983-03-19,1,3,2,No,2,1/5/2009,11/4/2015,3.0,Active,3,Janet King,2.0,Indeed,Exceeds,3.7,5,0,2/4/2019,0,15,N/A - Still Employed,No request made,7.6,28.1,0,41
"Cornett, Lisa",10094,1,1,0,1,5,3,0,63381.0,0,19,22,10,2189,1977-03-31,0,1,2,Yes,5,1/5/2015,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6,N/A - Still Employed,No request made,5.8,27.8,0,47
"Costello, Frank",10193,1,1,1,1,3,3,0,83552.0,0,9,6,10,1810,1986-08-26,1,1,2,No,5,3/30/2015,11/4/2015,3.0,Active,2,Simon Roup,4.0,Indeed,Fully Meets,3.04,3,6,1/22/2019,0,2,N/A - Still Employed,Seeking a change in management style.,10.3,45.9,2,38
"Crimmings,   Jean",10132,0,0,0,2,5,3,0,56149.0,0,19,22,10,1821,1987-04-10,0,3,2,No,5,7/6/2016,11/4/2015,3.0,Active,3,Michael Albert,22.0,LinkedIn,Fully Meets,4.12,5,0,1/28/2019,0,15,N/A - Still Employed,Wants to move from Production to Admin for better hours.,0.5,26.0,1,37
"Cross, Noah",10083,0,0,1,1,3,3,0,92329.0,0,28,31,4,6278,2065-09-09,1,3,2,No,5,11/10/2014,11/4/2015,3.0,Active,2,Peter Monroe,7.0,Employee Referral,Fully Meets,5.0,3,4,1/2/2019,0,5,N/A - Still Employed,No request made,0.6,5.0,3,40
"Daneault, Lynn",10099,0,0,0,1,6,3,0,65729.0,0,21,24,26,5473,1990-04-19,0,3,2,No,5,5/5/2014,11/4/2015,3.0,Active,4,Debra Houlihan,15.0,Indeed,Fully Meets,4.62,4,0,1/24/2019,0,8,N/A - Still Employed,No request made,4.2,31.5,3,34
"Daniele, Ann",10212,1,1,0,3,3,3,0,85028.0,0,28,31,4,6033,2052-01-18,0,1,2,No,5,11/10/2014,11/4/2015,3.0,Active,2,Peter Monroe,7.0,LinkedIn,Fully Meets,3.1,5,8,2/12/2019,0,19,N/A - Still Employed,No request made,6.4,10.6,2,40
"Darson, Jene'ya",10056,1,1,0,1,5,3,0,57583.0,0,19,22,10,2110,1978-11-05,0,1,2,No,5,7/2/2012,11/4/2015,3.0,Active,3,Elijiah Gray,16.0,Indeed,Fully Meets,5.0,3,0,2/25/2019,0,1,N/A - Still Employed,No request made,13.3,26.6,0,46
"Davis, Daniel",10143,0,0,1,1,5,3,0,56294.0,0,20,23,10,2458,1979-09-14,1,3,0,No,4,11/7/2011,11/4/2015,3.0,Active,3,Kissy Sullivan,20.0,LinkedIn,Fully Meets,3.96,4,0,2/27/2019,0,6,N/A - Still Employed,No request made,0.1,32.2,0,45
"Dee, Randy",10311,1,1,1,1,6,1,0,56991.0,0,19,22,10,2138,1988-04-15,1,1,2,No,5,7/9/2018,11/4/2015,3.0,Active,3,Brannon Miller,12.0,Indeed,Fully Meets,4.3,4,3,1/31/2019,2,2,N/A - Still Employed,Wants to move from Production to Admin for better hours.,1.4,5.3,0,36
"DeGweck,  James",10070,1,1,1,5,5,3,0,55722.0,1,19,22,10,1810,1977-10-31,1,1,2,No,5,5/16/2011,6/8/2016,17.0,Voluntarily Terminated,3,Webster Butler,39.0,Indeed,Fully Meets,5.0,4,0,4/2/2016,0,14,Personal reasons related to family relocation.,No request made,1.7,8.0,1,47
"Del Bosque, Keyla",10155,0,0,0,1,4,3,0,101199.0,0,24,27,10,2176,1979-07-05,0,3,2,No,2,1/9/2012,11/4/2015,3.0,Active,5,Alex Sweetwater,10.0,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,0,8,N/A - Still Employed,Interested in joining the IT department to leverage technical skills.,1.9,13.1,2,45
"Delarge, Alex",10306,0,0,1,1,6,1,0,61568.0,0,3,2,0,36006,2075-11-02,1,3,2,No,4,9/29/2014,11/4/2015,3.0,Active,4,John Smith,17.0,Indeed,PIP,1.93,3,0,1/30/2019,6,5,N/A - Still Employed,No request made,0.6,22.1,1,40
"Demita, Carla",10100,0,3,0,5,5,3,0,58275.0,1,20,23,10,2343,2051-02-25,0,2,2,No,2,4/4/2011,11/4/2015,11.0,Voluntarily Terminated,3,Kelley Spirea,18.0,Google Search,Fully Meets,4.62,5,0,5/6/2015,0,1,Commute was becoming too taxing on my work-life balance.,No request made,5.2,17.8,0,40
"Desimone, Carl",10310,1,1,1,1,5,1,0,53189.0,0,19,22,10,2061,2067-04-19,1,1,2,No,5,7/7/2014,11/4/2015,3.0,Active,3,Amy Dunn,11.0,Indeed,PIP,1.12,2,0,1/31/2019,4,9,N/A - Still Employed,No request made,6.9,36.9,0,40
"DeVito, Tommy",10197,0,0,1,1,3,3,0,96820.0,0,4,3,10,2045,1983-09-04,1,3,2,No,5,2/15/2017,11/4/2015,3.0,Active,2,Brian Champaigne,13.0,Indeed,Fully Meets,3.01,5,7,1/23/2019,0,15,N/A - Still Employed,No request made,3.8,49.1,2,41
"Dickinson, Geoff",10276,0,0,1,1,5,3,0,51259.0,0,19,22,10,2180,1982-11-15,1,3,2,No,5,5/12/2014,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Indeed,Fully Meets,4.3,4,0,2/19/2019,0,1,N/A - Still Employed,No request made,2.8,29.7,0,42
"Dietrich, Jenna",10304,0,0,0,1,6,1,0,59231.0,0,3,2,27,98052,1987-05-14,0,3,2,Yes,5,2/20/2012,11/4/2015,3.0,Active,4,John Smith,17.0,Website,PIP,2.3,1,0,1/29/2019,2,17,N/A - Still Employed,No request made,0.3,43.7,3,37
"DiNocco, Lily",10284,1,1,0,1,5,2,0,61584.0,0,19,22,10,2351,1978-12-02,0,1,2,No,2,1/7/2013,11/4/2015,3.0,Active,3,Brannon Miller,12.0,Indeed,Needs Improvement,3.88,4,0,1/18/2019,0,6,N/A - Still Employed,Wants to move from Production to Admin for better hours.,0.0,26.8,1,46
"Dobrin, Denisa  S",10207,0,0,0,1,5,3,0,46335.0,0,19,22,10,2125,1986-10-07,0,3,2,Yes,5,4/2/2012,11/4/2015,3.0,Active,3,David Stanley,14.0,CareerBuilder,Fully Meets,3.4,5,0,2/19/2019,0,15,N/A - Still Employed,No request made,7.1,7.1,0,38
"Dolan, Linda",10133,1,1,0,1,3,3,0,70621.0,0,14,17,10,2119,1988-07-18,0,1,2,No,5,1/5/2015,11/4/2015,3.0,Active,2,Peter Monroe,7.0,Employee Referral,Fully Meets,4.11,4,6,2/25/2019,0,16,N/A - Still Employed,No request made,5.2,47.5,3,36
"Dougall, Eric",10028,0,0,1,1,3,4,0,138888.0,0,13,16,10,1886,2070-07-09,1,3,2,No,2,1/5/2014,11/4/2015,3.0,Active,2,Jennifer Zamora,5.0,Indeed,Exceeds,4.3,5,5,1/4/2019,0,4,N/A - Still Employed,No request made,1.4,35.2,4,40
"Driver, Elle",10006,0,0,0,1,6,4,0,74241.0,0,3,2,2,90007,1988-11-08,0,3,2,No,5,1/10/2011,11/4/2015,3.0,Active,4,Lynn Daneault,21.0,Indeed,Exceeds,4.77,5,0,1/27/2019,0,14,N/A - Still Employed,No request made,5.0,6.2,2,36
"Dunn, Amy",10105,0,0,0,1,5,3,0,75188.0,0,18,21,10,1731,2073-11-28,0,3,2,No,5,9/18/2014,11/4/2015,3.0,Active,3,Janet King,2.0,Google Search,Fully Meets,4.52,4,0,1/15/2019,0,4,N/A - Still Employed,No request made,12.8,9.6,0,40
"Dunne, Amy",10211,1,1,0,1,5,3,0,62514.0,0,19,22,10,1749,2073-09-23,0,1,2,No,5,4/26/2010,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Google Search,Fully Meets,2.9,3,0,1/21/2019,0,6,N/A - Still Employed,Requested relocation to another state office.,1.6,42.0,0,40
"Eaton, Marianne",10064,1,1,0,5,5,3,0,60070.0,1,19,22,10,2343,1991-09-05,0,1,2,No,5,4/4/2011,6/6/2017,10.0,Voluntarily Terminated,3,Kissy Sullivan,20.0,Google Search,Fully Meets,5.0,3,0,4/9/2017,0,7,Personal reasons related to family relocation.,No request made,8.3,23.6,0,33
"Engdahl, Jean",10247,0,0,1,1,5,3,0,48888.0,0,19,22,10,2026,2074-05-31,1,3,2,No,5,11/10/2014,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,LinkedIn,Fully Meets,4.7,5,0,2/13/2019,0,8,N/A - Still Employed,Seeking a change in management style.,1.8,8.1,0,40
"England, Rex",10235,1,1,1,1,5,3,0,54285.0,0,19,22,10,2045,1978-08-25,1,1,2,No,5,3/31/2014,11/4/2015,3.0,Active,3,Kelley Spirea,18.0,Employee Referral,Fully Meets,4.2,3,0,1/11/2019,0,3,N/A - Still Employed,Requested relocation to another state office.,6.0,11.8,1,46
"Erilus, Angela",10299,0,3,0,1,5,1,0,56847.0,0,20,23,10,2133,1989-08-25,0,2,2,No,5,7/7/2014,11/4/2015,3.0,Active,3,Michael Albert,22.0,Indeed,PIP,3.0,1,0,2/25/2019,2,5,N/A - Still Employed,No request made,6.1,12.2,0,35
